Université,Fonds de roulement,Subvention notifiée AE,Subvention notifiée CP,ETPT,Recettes fonctionnement,Recettes investissement,Recettes,Dépenses fonctionnement,Dépenses investissement,Dépenses,Étudiant·e·s
AIX-MARSEILLE Université,43,487853,487883,6752,634734,24564,659297,630657,35507,666163,63057
AMIENS,64,151637,151802,2058,187936,4001,191936,181678,7973,189651,25274
ANGERS,35,116554,116668,1527,146295,1082,147377,143552,9447,152999,21220
ARTOIS,68,79896,79896,1485,95552,241,95792,120122,7195,127318,10135
AVIGNON,47,46511,46541,631,55001,4163,59164,53611,8806,62417,6582
BESANCON,46,161824,161824,2292,202262,3247,205509,200107,8408,208515,20728
BORDEAUX III,53,74683,74683,981,87002,1055,88057,84895,3530,88425,14888
BORDEAUX Université,27,324511,324625,4488,512620,18139,530758,508020,26370,534390,48730
BREST,40,141207,141322,1917,184846,5603,190449,183218,12729,195947,17797
BRETAGNE SUD,49,59422,59422,802,79188,750,79937,80466,4171,84637,8129
CAEN,21,180259,180259,2486,222788,2735,225523,220812,7665,228477,25546
CERGY-PONTOISE,49,117866,117871,1553,144016,4346,148362,141156,9640,150796,17044
CHAMBERY,28,85236,85236,1092,108218,1714,109932,107154,4088,111241,12611
CLERMONT-FERRAND I,112,91152,91267,1181,119373,11141,130514,112276,17058,129335,14757
CLERMONT-FERRAND II,21,134481,134536,1819,165077,3457,168534,162931,5126,168057,15369
CORSE,139,33557,33557,567,52801,13173,65974,52726,13343,66069,3993
DIJON,51,187769,188209,2547,235085,29308,264393,235452,42428,277880,27408
EVRY-VAL D'ESSONNE,94,66188,66188,839,86865,4471,91336,81341,1889,83230,9205
GUYANE,33,16215,16215,203,19084,464,19549,17955,1176,19131,2536
LA REUNION,34,89362,89516,949,106626,10473,117099,102098,11903,114001,13109
LA ROCHELLE,28,56533,56533,740,76671,1671,78343,76216,2764,78979,7382
LE HAVRE,48,58747,58747,756,72082,757,72840,70245,2066,72310,7230
LE MANS,44,69846,69960,920,86628,1910,88538,85355,3298,88653,9719
LILLE I,19,193674,193941,2580,258029,3139,261168,257564,11071,268635,19380
LILLE II,84,126419,126533,1873,165904,5598,171502,168239,8381,176620,28163
LILLE III,66,96899,96899,1298,114569,309,114877,111731,3026,114757,18006
LIMOGES,24,115093,115307,1554,147437,5612,153049,147849,7661,155511,15338
LITTORAL,29,68415,68415,926,87967,576,88543,86348,2482,88830,9669
LORRAINE Université,36,491046,454645,6070,533787,23920,557707,529393,35800,565193,54870
LYON I,57,289192,289192,4103,377000,8823,385823,366537,26820,393356,38173
LYON II,75,112122,112122,1548,134746,9327,144073,129420,11809,141229,29279
LYON III,47,81563,81563,1180,102261,975,103236,105769,13025,118794,25828
MARNE-LA-VALLEE,66,72557,72566,971,90996,4845,95841,91646,3837,95483,10556
MONTPELLIER III,45,87615,87615,1076,104659,1731,106390,102356,3122,105478,18369
MONTPELLIER Université,35,284282,284411,4013,360489,2614,363103,360243,18961,379204,39082
MULHOUSE,77,70402,70402,931,99393,395,99788,95447,3147,98594,7692
NANTES,22,238653,238768,3326,320145,7023,327169,310647,14797,325444,38271
NICE,21,186048,186322,2534,228432,7684,236117,226604,12178,238781,27640
NIMES,69,13368,13368,173,16318,21,16339,16858,1651,18510,3965
NOUVELLE-CALEDONIE,137,23329,23329,213,29146,620,29767,27801,2033,29833,2854
ORLEANS,1,132467,132467,1799,167734,15125,182859,168136,20837,188973,15826
PARIS I,23,175272,175421,2398,221479,1541,223021,220247,3229,223476,39532
PARIS II,68,60928,61098,927,83515,0,83515,87311,7496,94806,16592
PARIS III,66,90622,90627,1193,112857,300,113157,111187,6232,117419,16882
PARIS IV,70,133996,137499,1758,166174,546,166719,160981,5613,166594,22627
PARIS V,21,232134,232248,3255,305071,12633,317704,300717,20212,320929,32978
PARIS VI,14,349441,349441,5272,488950,18093,507043,485877,20964,506841,32183
PARIS VII,39,254373,257555,3421,310314,3372,313686,306940,10084,317024,23250
PARIS VIII,67,116328,116328,1529,135174,245,135419,134620,3766,138386,21802
PARIS X,81,161249,161433,2157,186415,3945,190360,182891,13704,196595,31459
PARIS XI,44,277055,277175,4019,364856,28438,393293,353176,37137,390313,28242
PARIS XII,46,188664,188664,2504,234289,3686,237975,230679,9633,240313,29271
PARIS XIII,17,142045,142045,1953,177031,3073,180104,174862,4906,179768,20391
PAU,4,86615,86729,1127,108538,4741,113279,110065,9945,120010,11774
PERPIGNAN,52,57138,57253,750,69032,518,69551,68335,1937,70271,8673
POITIERS,47,194493,194607,2603,239088,6728,245816,227303,24018,251321,24200
POLYNESIE FRANCAISE,97,21636,21636,204,25973,54,26027,27256,2385,29641,3486
REIMS,30,161189,161264,2243,192952,2805,195757,194715,8876,203591,23626
RENNES I,35,200074,200188,2828,274025,5945,279970,272194,10230,282425,25803
RENNES II,35,87345,87345,1203,105746,412,106158,105491,1417,106908,21249
ROUEN,43,172100,172100,2343,214921,6750,221671,210314,15460,225774,26819
SAINT-ETIENNE,44,99656,99656,1347,126303,1815,128119,125079,6011,131089,17163
STRASBOURG Université,41,326363,326493,4604,473102,19236,492338,465198,29547,494746,46430
TOULON,58,66428,66428,839,77841,1586,79427,76395,2407,78802,8760
TOULOUSE I,115,80222,80382,1011,111198,2748,113946,108831,4194,113025,21210
TOULOUSE II,60,149260,154175,2036,174544,5449,179993,171716,7646,179362,26932
TOULOUSE III,29,280728,280843,3946,364005,3252,367258,365422,13278,378700,29485
TOURS,47,155474,155474,2090,201933,8642,210575,197748,14048,211796,23495
VALENCIENNES,87,82192,82306,1167,108866,6075,114940,105128,8422,113550,10369
VERSAILLES-SAINT-QUENTIN,36,106813,107739,1391,145605,1922,147527,140573,4183,144757,15799
